Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
02096;Bois-Colombes;Bois-Colombes;Oui;Non;AG Ile-de-France;REGION DE PARIS SAINT-LAZARE;;;1;1;Bois-Colombes;92270;Bois-Colombes;92-009;Hauts-de-Seine;Île-de-France;2.27256;48.91348;0087381079;BCO;b;;;;;48.91348, 2.27256
02427;Magenta;Magenta;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Magenta;75010;Paris;75-056;Paris;Île-de-France;2.35835;48.87986;0087281873;MAG;b;;;;;48.87986, 2.35835
02456;Mériel;Mériel;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Mériel;95630;Mériel;95-392;Val-d'Oise;Île-de-France;2.20528;49.07777;0087276675;MVC;b;;;;;49.07777, 2.20528
02457;Méry-sur-Oise;Méry-sur-Oise;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Méry-sur-Oise;95540;Méry-sur-Oise;95-394;Val-d'Oise;Île-de-France;2.19074;49.05766;0087276667;MWO;b;;;;;49.05766, 2.19074
02458;Frépillon;Frépillon;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Frépillon;95740;Frépillon;95-256;Val-d'Oise;Île-de-France;2.19717;49.04620;0087276659;FPN;b;;;;;49.0462, 2.19717
02464;Gros Noyer Saint-Prix;Gros Noyer Saint-Prix;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Gros Noyer Saint-Prix;95120;Ermont;95-219;Val-d'Oise;Île-de-France;2.25880;48.99682;0087276592;GNE;b;;;;;48.99682, 2.2588
02467;Viarmes;Viarmes;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Viarmes;95270;Viarmes;95-652;Val-d'Oise;Île-de-France;2.36838;49.11692;0087276568;VCX;b;;;;;49.11692, 2.36838
02471;L'Isle-Adam - Parmain;L'Isle-Adam - Parmain;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;L'Isle-Adam - Parmain;95290;Parmain;95-480;Val-d'Oise;Île-de-France;2.20976;49.11482;0087276527;IAP;b;;;;;49.11482, 2.20976
02479;Domont;Domont;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Domont;95330;Domont;95-199;Val-d'Oise;Île-de-France;2.33746;49.03268;0087276436;DMO;b;;;;;49.03268, 2.33746
02485;Groslay;Groslay;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Groslay;95410;Groslay;95-288;Val-d'Oise;Île-de-France;2.35358;48.98462;0087276360;GNX;b;;;;;48.98462, 2.35358
02500;Garges - Sarcelles;Garges - Sarcelles;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Garges - Sarcelles;95140;Garges-lès-Gonesse;95-268;Val-d'Oise;Île-de-France;2.39078;48.97663;0087276196;GAJ;b;;;;;48.97663, 2.39078
02511;Franconville - Le Plessis-Bouchard;Franconville - Le Plessis-Bouchard;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Franconville - Le Plessis-Bouchard;95130;Franconville;95-252;Val-d'Oise;Île-de-France;2.23514;48.99358;0087276071;FPB;b;;;;;48.99358, 2.23514
02519;Les Grésillons;Les Grésillons;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Les Grésillons;92230;Gennevilliers;92-036;Hauts-de-Seine;Île-de-France;2.31441;48.92007;0087272146;LEG;b;;;;;48.92007, 2.31441
02522;Thieux - Nantouillet;Thieux - Nantouillet;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Thieux - Nantouillet;77230;Thieux;77-462;Seine-et-Marne;Île-de-France;2.6805271;49.0084346;0087272054;TNT;c;;;;;49.0084346, 2.6805271
02541;Aéroport Charles de Gaulle 2 TGV;Aéroport Charles de Gaulle 2 TGV;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;UG Paris-Nord;;2;1;Aéroport Charles de Gaulle 2 TGV;95700;Roissy-en-France;95-527;Val-d'Oise;Île-de-France;2.570892;49.003652;0087271494;RYT;a;3;;;;49.003652, 2.570892
02550;Drancy;Drancy;Oui;Non;AG Ile-de-France;REGION DE PARIS-NORD;;;1;1;Drancy;93700;Drancy;93-029;Seine-Saint-Denis;Île-de-France;2.45497;48.93298;0087271403;DRN;b;;;;;48.93298, 2.45497
03011;Villiers Montbarbin;Villiers Montbarbin;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Villiers Montbarbin;77580;Crécy-la-Chapelle;77-142;Seine-et-Marne;Île-de-France;2.8830418;48.8632544;0087116749;VBB;c;;;;;48.8632544, 2.8830418
03024;La Ferté-sous-Jouarre;La Ferté-sous-Jouarre;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;La Ferté-sous-Jouarre;77260;Ferté-sous-Jouarre;77-183;Seine-et-Marne;Île-de-France;3.125577;48.950741;0087116517;LFJ;b;;;;;48.950741, 3.125577
03030;Coulommiers;Coulommiers;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Coulommiers;77120;Coulommiers;77-131;Seine-et-Marne;Île-de-France;3.082250;48.808006;0087116301;CQU;b;;;;;48.808006, 3.08225
03032;Mouroux;Mouroux;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Mouroux;77120;Mouroux;77-320;Seine-et-Marne;Île-de-France;3.0423421;48.8139949;0087116285;MXK;c;;;;;48.8139949, 3.0423421
03038;Sainte-Colombe Septveilles;Sainte-Colombe Septveilles;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Sainte-Colombe Septveilles;77650;Sainte-Colombe;77-404;Seine-et-Marne;Île-de-France;3.25602;48.52959;0087116178;XCS;b;;;;;48.52959, 3.25602
03042;Meaux;Meaux;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Meaux;77100;Meaux;77-284;Seine-et-Marne;Île-de-France;2.874041;48.957759;0087116103;MEA;b;;;;;48.957759, 2.874041
03045;Verneuil-l'Étang;Verneuil-l'Étang;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Verneuil-l'Étang;77390;Verneuil-l'Étang;77-493;Seine-et-Marne;Île-de-France;2.825006;48.644689;0087116079;VNL;b;;;;;48.644689, 2.825006
03047;Roissy-en-Brie;Roissy-en-Brie;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Roissy-en-Brie;77680;Roissy-en-Brie;77-390;Seine-et-Marne;Île-de-France;2.650165;48.795481;0087116038;ROB;b;;;;;48.795481, 2.650165
03048;Ozoir-la-Ferrière;Ozoir-la-Ferrière;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Ozoir-la-Ferrière;77330;Ozoir-la-Ferrière;77-350;Seine-et-Marne;Île-de-France;2.689841;48.770720;0087116020;OZF;b;;;;;48.77072, 2.689841
03061;Val de Fontenay;Val de Fontenay;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Val de Fontenay;94120;Fontenay-sous-Bois;94-033;Val-de-Marne;Île-de-France;2.489097;48.854238;0087113712;VDF;b;;;;;48.854238, 2.489097
03064;Le Chénay Gagny;Le Chénay Gagny;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Le Chénay Gagny;93220;Gagny;93-032;Seine-Saint-Denis;Île-de-France;2.552692;48.877129;0087113522;CGG;b;;;;;48.877129, 2.552692
03065;Gagny;Gagny;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;;;1;1;Gagny;93220;Gagny;93-032;Seine-Saint-Denis;Île-de-France;2.527106;48.883125;0087113514;GNQ;b;;;;;48.883125, 2.527106
03070;Paris Est;Paris Est;Oui;Non;AG Ile-de-France;REGION DE PARIS-EST;UG Paris-Est;;1;1;Paris Est;75010;Paris;75-056;Paris;Île-de-France;2.358424;48.876742;0087113001;PES;a;3;;;;48.876742, 2.358424
